Id,Gender,Opinion
1,male,agree
2,male,agree
3,male,agree
4,male,agree
5,male,agree
6,male,agree
7,male,agree
8,male,agree
9,male,agree
10,male,agree
11,male,agree
12,male,agree
13,male,agree
14,male,agree
15,male,agree
16,male,agree
17,male,agree
18,male,agree
19,male,agree
20,male,agree
21,male,agree
22,male,agree
23,male,agree
24,male,agree
25,male,agree
26,male,agree
27,male,agree
28,male,agree
29,male,agree
30,male,agree
31,male,disagree
32,male,disagree
33,male,disagree
34,male,disagree
35,male,disagree
36,male,disagree
37,male,disagree
38,male,disagree
39,male,disagree
40,male,disagree
41,male,neutral
42,male,neutral
43,male,neutral
44,male,neutral
45,male,neutral
46,male,neutral
47,male,neutral
48,male,neutral
49,male,neutral
50,male,neutral
51,female,agree
52,female,agree
53,female,agree
54,female,agree
55,female,agree
56,female,agree
57,female,agree
58,female,agree
59,female,agree
60,female,agree
61,female,agree
62,female,agree
63,female,agree
64,female,agree
65,female,agree
66,female,agree
67,female,agree
68,female,agree
69,female,agree
70,female,agree
71,female,disagree
72,female,disagree
73,female,disagree
74,female,disagree
75,female,disagree
76,female,disagree
77,female,disagree
78,female,disagree
79,female,disagree
80,female,disagree
81,female,disagree
82,female,disagree
83,female,disagree
84,female,disagree
85,female,disagree
86,female,disagree
87,female,disagree
88,female,disagree
89,female,disagree
90,female,disagree
91,female,neutral
92,female,neutral
93,female,neutral
94,female,neutral
95,female,neutral
96,female,neutral
97,female,neutral
98,female,neutral
99,female,neutral
100,female,neutral